"","ID.","Habitat","ResDimension","ConDimension","Model","AIC","BIC"
"5",39835,1,2,2,"PowFit",-100.320091210851,-100.081766585811
"6",39835,1,2,2,"QuaFit",-100.71673107138,-100.398964904661
"7",39835,1,2,2,"GenFit",-66.6082233028367,-66.2904571361174
"8",39835,1,2,2,"CubFit",NA,NA
"9",39836,1,1,1,"PowFit",-195.128782868223,-194.221027589241
"10",39836,1,1,1,"QuaFit",-180.428102584977,-179.217762213001
"11",39836,1,1,1,"GenFit",NA,NA
"12",39836,1,1,1,"CubFit",-191.851427200844,-190.338501735874
"13",39837,1,1,1,"PowFit",-118.375148830913,-117.467393551931
"14",39837,1,1,1,"QuaFit",-168.961156544781,-167.750816172805
"15",39837,1,1,1,"GenFit",NA,NA
"16",39837,1,1,1,"CubFit",-168.367043019496,-166.854117554526
"17",39838,1,1,1,"PowFit",-128.507890315758,-127.600135036776
"18",39838,1,1,1,"QuaFit",-201.404303377441,-200.193963005465
"19",39838,1,1,1,"GenFit",-195.720807501707,-194.51046712973
"20",39838,1,1,1,"CubFit",-199.546383211588,-198.033457746618
"21",39839,1,1,1,"PowFit",-182.486924168987,-181.579168890005
"22",39839,1,1,1,"QuaFit",-190.766749996257,-189.556409624281
"23",39839,1,1,1,"GenFit",NA,NA
"24",39839,1,1,1,"CubFit",-194.139299947653,-192.626374482682
"25",39840,1,2,2,"PowFit",-12.3871896218895,-7.63663280652112
"26",39840,1,2,2,"QuaFit",-12.0763229797263,-5.74224722590186
"27",39840,1,2,2,"GenFit",-11.5713274754077,-5.23725172158324
"28",39840,1,2,2,"CubFit",-10.7539452897457,-2.83635059746516
"29",39841,1,2,2,"PowFit",-33.6114302621123,-28.4707140619994
"30",39841,1,2,2,"QuaFit",-25.9876330085069,-19.1333447416897
"31",39841,1,2,2,"GenFit",-15.4865136641071,-8.6322253972899
"32",39841,1,2,2,"CubFit",-32.616104246142,-24.0482439126205
"33",39842,1,2,2,"PowFit",4.04488975949914,8.62397133334762
"34",39842,1,2,2,"QuaFit",-0.0557007596057559,6.04974133885889
"35",39842,1,2,2,"GenFit",5.80008735926862,11.9055294577333
"36",39842,1,2,2,"CubFit",1.83068750093461,9.46249012401541
"37",39843,1,2,2,"PowFit",-25.2298286766539,-21.2332151461283
"38",39843,1,2,2,"QuaFit",-20.8176860886439,-15.4888680479431
"39",39843,1,2,2,"GenFit",-9.24544245441783,-3.91662441371701
"40",39843,1,2,2,"CubFit",-20.538195438512,-13.877172887636
"41",39844,1,2,2,"PowFit",-25.427915873047,-20.2149070181969
"42",39844,1,2,2,"QuaFit",-20.973728169713,-14.0230496965795
"43",39844,1,2,2,"GenFit",-23.6797498821546,-16.7290714090211
"44",39844,1,2,2,"CubFit",-22.755850833576,-14.0675027421592
"45",39845,1,2,2,"PowFit",-14.4449927072155,-10.9108312161716
"46",39845,1,2,2,"QuaFit",-11.7422496350324,-7.03003431364058
