"","ID","a","h","minAIC","minBIC","AIC","BIC","Habitat","Res_Dim","Con_Dim","mecphe"
"1","39835","-14.5562139067096","5.92964994751871","-100.71673107138","-100.398964904661","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"2","39836","4.67352164773812","0.718575758907218","-195.128782868222","-194.22102758924","PowFit","PowFit","Freshwater","2D","2D","Mechanistic"
"3","39837","-0.251352743572485","1.8275887609806","-168.961156544781","-167.750816172805","QuaFit","QuaFit","Freshwater","2D","2D","Phenomenological"
"4","39838","-2.13504214046996","17.0850244345095","-201.404303377441","-200.193963005465","QuaFit","QuaFit","Freshwater","2D","2D","Phenomenological"
"5","39839","-4.908052032577","-2.14400306552109","-194.139299947653","-192.626374482682","CubFit","CubFit","Freshwater","2D","2D","Phenomenological"
"6","39840","11.3859012780798","2.57143457129989","-12.3871896194779","-7.63663280410955","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"7","39841","-7.44144033322642","14.4381401734311","-33.6114302617574","-28.4707140616445","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"8","39842","-4.61480869472783","10.994346832779","-0.0557007596057559","6.04974133885889","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"9","39843","-12.7237983463556","0.0254025827674949","-25.2298286760489","-21.2332151455233","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"10","39844","3.88751394710684","9.15133399146137","-25.42791587305","-20.2149070181999","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"11","39845","-3.04926788213457","-0.032630644259114","-14.4449927072159","-10.9108312161721","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"12","39846","-3.8181664758897","-0.426783506795457","-11.4937749255651","-7.0486582210793","QuaFit","PowFit","Freshwater","3D","3D","Phenomenological"
"13","39847","2.03874715156692","6.653853708317","-32.4441979730312","-27.8919463898519","CubFit","PowFit","Freshwater","3D","3D","Phenomenological"
"14","39848","1.29826982802078","3.70671408168218","-10.458120430939","-6.80149295633441","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"15","39849","-11.4956322849781","7.43195367501176","-14.1858818384856","-10.0077920875919","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"16","39850","14.2258407778213","13.1487050021989","-29.2946271008978","-24.5724322050656","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"17","39868","-13.8103893843659","-0.680262069178741","-84.2872539011432","-85.120216024231","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"18","39869","4.57254959042418","0.495890211242651","-72.5769448091295","-73.2872338744935","PowFit","CubFit","Freshwater","3D","3D","Mechanistic"
"19","39870","9.85413065191378","-0.78347612444107","-84.117946869627","-84.9509089927147","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"20","39871","-9.21668656906571","-0.502046285869948","-73.4146046689943","-74.4558073228541","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"21","39873","7.76843288349408","-1.69769404081187","-94.7894866390939","-95.6224487621817","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"22","39874","16.8052156357016","-0.0120899165064272","-86.3058757323313","-86.9305973246472","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"23","39875","-5.83191281486564","9.20672069792201","-73.5269158215161","-74.5681184753758","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"24","39876","-1.40014758434759","16.1378327115741","-68.2542243240923","-68.8789459164081","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"25","39877","2.92527164458621","1.49000137319754","-73.7763694402564","-74.8175720941161","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"26","39878","-15.7159065578927","-1.01739264171034","-101.217587553598","-101.842309145914","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"27","39879","8.53017666575467","10.7306583458171","-88.7863884691598","-89.8057171669909","QuaFit","CubFit","Freshwater","3D","3D","Phenomenological"
"28","39880","0.060320110312366","-5.38104730961694","-79.9809651145893","-80.6056867069052","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"29","39881","18.6777537325846","26.1355819773451","-80.3272952593073","-81.3684979131671","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"30","39882","-0.203648859355541","-0.231670179443792","-80.2787008060517","-80.9034223983676","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"31","39883","12.0454202907403","2.83391485421477","-880.278870969078","-870.718755941937","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"32","39885","-6.59824817530505","-16.442571760726","-107.345447236804","-108.091591217871","PowFit","CubFit","Terrestrial","2D","2D","Mechanistic"
"33","39890","3.37636296686525","-3.58209862933612","-92.3112048069109","-93.1441669299986","QuaFit","QuaFit","Freshwater","3D","2D","Phenomenological"
"34","39891","-15.400773975019","1.04968556190318","-91.3697750873797","-92.4109777412394","CubFit","CubFit","Freshwater","3D","2D","Phenomenological"
"35","39892","-3.46388633680755","4.32486753021811","-284.668498697459","-279.946303801627","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"36","39893","-1.94398727984673","12.6477922133666","-284.930128060856","-281.368641029271","QuaFit","QuaFit","Terrestrial","2D","2D","Phenomenological"
"37","39894","12.0286721365156","-1.4289380497058","-111.196443699041","-111.358713251875","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"38","39895","2.0198076191172","2.36009116570463","-119.572482369473","-119.321396391684","CubFit","PowFit","Freshwater","3D","3D","Phenomenological"
"39","39896","3.95030181985448","-1.12120046805615","-120.07613671274","-119.758370546021","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"40","39897","-1.1169591296736","-16.2895942109354","-121.880051944384","-121.641727319344","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"41","39898","-3.01949505298627","-4.12692863822418","-142.048161062696","-141.730394895976","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"42","39899","1.83596186417601","-5.55985010823522","-128.760538612602","-128.442772445883","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"43","39900","4.57195871228752","-0.0671689489936899","-132.571729121892","-132.253962955172","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"44","39901","-0.660067087159592","-8.46652586638266","-121.980073717289","-121.66230755057","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"45","39902","13.9416753521118","-4.73840008822297","-116.247759454655","-115.929993287935","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"46","39903","0.598862928341164","1.07893854711529","-110.773957467126","-110.535632842087","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"47","39904","-1.61323294340739","-0.667282041573491","-128.683956815252","-128.366190648532","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"48","39905","-6.39703501215443","-0.563827202301438","-120.461438822412","-120.223114197372","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"49","39906","-13.6829200589497","-4.01464007803983","-130.222756637212","-129.984432012172","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"50","39907","14.8906630798425","6.32048648978973","-185.813129947064","-180.357917680273","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"51","39908","-13.4414969135811","-2.67587166248209","-155.907815362361","-155.590049195642","GenFit","GenFit","Terrestrial","2D","2D","Mechanistic"
"52","39909","15.4545220398814","-3.50877312992626","-145.548842177864","-145.310517552824","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
