Asset,Latitude,Longitude,Date,Direction,Degrees,Speed,Source
BPV PACIFIC MARLIN 456301540,-6.15467,72.19933,20/12/2013 11:22:00 UTC,S,175,9,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-6.468,72.23,20/12/2013 13:24:00 UTC,S,175,9,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-6.78133,72.262,20/12/2013 15:24:00 UTC,S,176,9,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.082,72.34067,20/12/2013 17:24:00 UTC,SSE,168,9,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.28267,72.402,20/12/2013 19:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.28267,72.40267,20/12/2013 21:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.28267,72.40267,20/12/2013 23:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.28333,72.40333,21/12/2013 01:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.292,72.39267,21/12/2013 03:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.292,72.39267,21/12/2013 05:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.292,72.39267,21/12/2013 07:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.292,72.39267,21/12/2013 09:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.292,72.39267,21/12/2013 11:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
BPV PACIFIC MARLIN 456301540,-7.292,72.39267,21/12/2013 13:24:00 UTC,SE,138,0,"SAT-C,D:9220,M:13,O:IOR"
