"","month","count","number_sharks"
"2","2014-01","39","4"
"3","2014-02","3","2"
"4","2014-03","192","14"
"5","2014-04","328","26"
"6","2014-05","488","29"
"7","2014-06","382","20"
"8","2014-07","294","19"
"9","2014-08","772","21"
"10","2014-09","433","19"
"11","2014-10","131","14"
"12","2014-11","139","18"
"13","2014-12","44","4"
"14","2015-01","57","5"
"15","2015-02","55","6"
"16","2015-03","208","15"
"17","2015-04","209","11"
"18","2015-05","136","15"
"19","2015-06","10","3"
"20","2015-07","248","8"
"21","2015-08","434","18"
"22","2015-09","125","7"
"23","2015-10","81","8"
"24","2015-11","262","7"
"25","2015-12","170","9"
"26","2016-01","57","6"
"27","2016-02","94","9"
"28","2016-03","202","12"
"29","2016-04","542","37"
"30","2016-05","474","43"
"31","2016-06","1","1"
"32","2017-06","314","20"
"33","2017-07","287","19"
"34","2017-08","2042","28"
"35","2017-09","230","12"
"36","2017-10","250","13"
"37","2017-11","214","11"
"38","2017-12","251","12"
"39","2018-02","20","3"
"40","2018-03","1058","11"
"41","2018-04","4118","63"
"42","2018-05","1140","23"
"43","2018-06","894","26"
"44","2018-08","66","9"
"45","2018-09","469","33"
"46","2018-10","195","9"
"47","2018-11","763","19"
"48","2018-12","374","10"
"49","2019-01","43","6"
"50","2019-02","322","16"
"51","2019-03","3281","27"
"52","2019-04","4","1"
