"","monthyear","X","month","count","number_sharks","count_tag","Boat_station_freq","year","stations","standard1","standard3","actual_hours","standard2","standard4"
"1","2014-01",2,1,50,6,21,189,2014,49,0.0125976316452507,0.0440917107583774,535,0.00445037828215398,0.0155763239875389
"2","2014-02",3,2,12,5,18,92,2014,49,0.0072463768115942,0.0260869565217391,251,0.00265604249667995,0.00956175298804781
"3","2014-03",4,3,143,25,15,230,2014,49,0.0414492753623188,0.0248695652173913,441,0.0216175359032502,0.0129705215419501
"4","2014-04",5,4,171,31,46,294,2014,49,0.0126441881100266,0.0187623436471363,358,0.0103837745931504,0.0154081816543521
"5","2014-05",6,5,171,32,43,228,2014,49,0.0174418604651163,0.0234375,374,0.0106330058450441,0.0142881016042781
"6","2014-06",7,6,108,24,41,169,2014,49,0.0155866647423871,0.0266272189349112,333,0.00791034937376401,0.0135135135135135
"7","2014-07",8,7,90,24,38,141,2014,49,0.0167973124300112,0.0265957446808511,414,0.005720823798627,0.00905797101449275
"8","2014-08",9,8,116,24,34,190,2014,49,0.0179566563467492,0.0254385964912281,506,0.00674261799581493,0.00955204216073781
"9","2014-09",10,9,128,22,33,202,2014,49,0.0192019201920192,0.0288028802880288,485,0.00799750078100594,0.0119962511715089
"10","2014-10",11,10,78,16,33,136,2014,49,0.017379679144385,0.0358455882352941,386,0.00612341026848799,0.0126295336787565
"11","2014-11",12,11,118,23,32,133,2014,49,0.0277255639097744,0.0385746976135992,429,0.0085955710955711,0.0119590554373163
"12","2014-12",13,12,36,5,16,124,2014,49,0.0181451612903226,0.0580645161290323,304,0.00740131578947368,0.0236842105263158
"13","2015-01",14,1,88,9,16,335,2015,64,0.0164179104477612,0.0291873963515755,510,0.0107843137254902,0.0191721132897603
"14","2015-02",15,2,68,9,17,298,2015,64,0.0134228187919463,0.0253542132736764,469,0.00852878464818763,0.0161099265576878
"15","2015-03",16,3,150,22,17,360,2015,64,0.0245098039215686,0.0189393939393939,519,0.0170010200612037,0.0131371518654756
"16","2015-04",17,4,71,20,58,281,2015,64,0.00435636274389496,0.0126334519572954,538,0.00227534931419049,0.00659851301115242
"17","2015-05",18,5,71,26,61,208,2015,64,0.00559583858764187,0.0131286982248521,487,0.00239000908876696,0.00560732901595325
"18","2015-06",19,6,14,7,61,84,2015,64,0.00273224043715847,0.0238095238095238,358,0.000641084348383552,0.00558659217877095
"19","2015-07",20,7,60,18,61,194,2015,64,0.00507013689369613,0.0171821305841924,480,0.00204918032786885,0.00694444444444444
"20","2015-08",21,8,109,25,61,195,2015,64,0.00916351408154687,0.0223589743589744,394,0.00453524174086711,0.0110659898477157
"21","2015-09",22,9,43,8,61,78,2015,64,0.00903741067675494,0.0689102564102564,204,0.00345548055287689,0.0263480392156863
"22","2015-10",23,10,48,14,60,149,2015,64,0.00536912751677852,0.0230105465004794,393,0.00203562340966921,0.00872410032715376
"23","2015-11",24,11,124,16,61,161,2015,64,0.0126260054984217,0.0481366459627329,377,0.00539200765317215,0.0205570291777188
"24","2015-12",25,12,124,23,61,196,2015,64,0.0103713616594179,0.0275066548358474,436,0.00466235524138968,0.0123653769445552
"25","2016-01",26,1,79,22,61,168,2016,93,0.0077088212334114,0.0213744588744589,454,0.00285260345201127,0.0079094913896676
"26","2016-02",27,2,90,21,60,292,2016,93,0.00513698630136986,0.0146771037181996,448,0.00334821428571429,0.00956632653061225
"27","2016-03",28,3,99,26,61,242,2016,93,0.00670640834575261,0.0157342657342657,526,0.00308545783207629,0.00723895875987131
"28","2016-04",29,4,140,57,121,186,2016,93,0.00622056340531414,0.0132050556498774,582,0.00198801510891483,0.00422017242418762
"29","2016-05",30,5,161,67,146,192,2016,93,0.00574343607305936,0.0125155472636816,414,0.00266362252663623,0.00580431177446103
"30","2016-06",31,6,4,3,147,6,2016,93,0.00453514739229025,0.222222222222222,304,8.95094880057286e-05,0.0043859649122807
"31","2016-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-06",32,6,118,30,106,227,2017,89,0.00490399800515335,0.0173274596182085,523,0.00212850391428262,0.00752071383046526
"43","2017-07",33,7,175,34,106,289,2017,89,0.00571260690735784,0.0178098921229391,571,0.00289131943297095,0.00901411352632121
"44","2017-08",34,8,214,35,104,187,2017,89,0.0110037021801728,0.0326967150496562,359,0.00573173344761089,0.0170314365300438
"45","2017-09",35,9,82,27,103,121,2017,89,0.00657947524673032,0.0250994796449342,514,0.00154886479543652,0.00590863236777634
"46","2017-10",36,10,80,25,99,172,2017,89,0.00469814423302795,0.0186046511627907,417,0.00193784366446237,0.00767386091127098
"47","2017-11",37,11,65,22,94,190,2017,89,0.00363941769316909,0.0155502392344498,514,0.00134531004222204,0.00574814290767598
"48","2017-12",38,12,62,13,90,299,2017,89,0.0023039762170197,0.0159506045793671,586,0.00117557830868411,0.00813861906012077
"49","2018-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2018-02",39,2,16,5,89,463,2018,56,0.000388283544058048,0.00691144708423326,606,0.000296658879371083,0.00528052805280528
"51","2018-03",40,3,197,17,100,557,2018,56,0.00353680430879713,0.0208047312282184,737,0.0026729986431479,0.0157235214302817
"52","2018-04",41,4,1212,95,147,491,2018,56,0.0167920528700278,0.0259834923357273,575,0.0143389529724933,0.022187643020595
"53","2018-05",42,5,368,52,144,467,2018,56,0.00547228170354509,0.0151540108713556,707,0.00361464717900361,0.01000979218801
"54","2018-06",43,6,729,40,138,473,2018,56,0.0111683059104697,0.0385306553911205,581,0.00909226969991768,0.031368330464716
"55","2018-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2018-08",44,8,68,23,133,50,2018,56,0.0102255639097744,0.0591304347826087,234,0.00218494955337061,0.0126347082868822
"57","2018-09",45,9,106,41,128,289,2018,56,0.00286548442906574,0.00894590260781501,561,0.00147615864527629,0.00460849528281379
"58","2018-10",46,10,120,46,120,185,2018,56,0.00540540540540541,0.0141010575793184,391,0.00255754475703325,0.00667185588791282
"59","2018-11",47,11,406,60,114,272,2018,56,0.013093395252838,0.0248774509803922,503,0.00708032506714101,0.0134526176275679
"60","2018-12",48,12,151,46,112,289,2018,56,0.00466510133465151,0.0113585075974124,627,0.00215026201868307,0.00523542056722835
"61","2019-01",49,1,216,46,109,173,2019,56,0.0114546322320624,0.0271424981151043,578,0.00342846258848925,0.00812396569881149
"62","2019-02",50,2,129,44,98,111,2019,56,0.0118587975730833,0.0264127764127764,506,0.0026014358312495,0.00579410707869206
"63","2019-03",51,3,331,46,55,401,2019,56,0.0150079347086828,0.0179442697603817,614,0.00980159905241339,0.0117193032148421
