"","Code","min","max","days"
"2","6","2018-06-11","2018-06-11","0"
"3","25","2018-04-06","2018-04-06","0"
"4","2388","2016-06-18","2017-09-20","459"
"5","2390","2016-04-24","2016-09-19","148"
"6","12950","2014-03-28","2014-12-03","250"
"7","12952","2014-03-29","2014-12-09","255"
"8","12954","2014-03-29","2014-03-29","0"
"9","12956","2014-03-27","2014-06-17","81.9583333333333"
"10","12958","2014-03-31","2014-12-03","247.041666666667"
"11","12960","2014-04-02","2014-07-13","102"
"12","12962","2014-03-26","2018-12-22","1732"
"13","12964","2014-03-26","2016-11-26","976"
"14","12966","2014-03-27","2018-11-02","1681"
"15","12968","2014-03-29","2014-12-05","251"
"16","13573","2013-03-22","2013-10-10","201.958333333333"
"17","13574","2013-03-22","2013-10-04","195.958333333333"
"18","13575","2013-03-22","2018-03-20","1824"
"19","13576","2013-03-22","2014-12-10","628"
"20","13577","2013-03-22","2017-01-22","1402"
"21","14203","2013-03-30","2013-06-09","70.9583333333333"
"22","19215","2016-04-06","2019-03-18","1076.04166666667"
"23","19318","2013-04-01","2014-07-13","468"
"24","19319","2013-03-28","2013-10-10","195.958333333333"
"25","19320","2013-03-15","2013-08-11","148.958333333333"
"26","19321","2013-03-22","2013-06-23","92.9583333333333"
"27","19322","2013-03-22","2013-06-21","90.9583333333333"
"28","19505","2018-03-18","2019-02-25","344"
"29","19506","2018-03-21","2019-03-03","347"
"30","19508","2018-03-18","2019-03-20","367"
"31","19509","2018-03-21","2018-04-09","18.9583333333333"
"32","19510","2018-03-18","2019-03-19","366"
"33","19511","2018-03-20","2019-02-06","323"
"34","19512","2018-03-17","2018-06-25","99.9583333333333"
"35","19513","2018-03-18","2019-03-19","366"
"36","19514","2018-03-19","2019-03-03","349"
"37","19515","2016-04-13","2016-09-07","147"
"38","19516","2018-03-21","2019-03-17","361"
"39","19517","2016-04-13","2018-04-07","724"
"40","19518","2018-03-16","2019-03-17","366"
"41","19519","2018-12-14","2018-12-14","0"
"42","19520","2018-07-04","2018-09-24","82"
"43","19523","2016-04-21","2019-03-14","1057.04166666667"
"44","19524","2016-04-17","2017-12-11","603.041666666667"
"45","21296","2019-03-18","2019-03-24","6"
"46","21297","2019-03-18","2019-04-17","29.9583333333333"
"47","21300","2019-03-19","2019-04-24","35.9583333333333"
"48","21301","2019-03-26","2019-04-19","23.9583333333333"
"49","21303","2019-03-20","2019-03-22","2"
"50","21304","2019-03-21","2019-04-20","29.9583333333333"
"51","21305","2019-03-23","2019-04-20","27.9583333333333"
"52","21306","2019-03-18","2019-03-22","4"
"53","21307","2019-03-21","2019-04-26","35.9583333333333"
"54","25534","2014-03-21","2016-04-06","746.958333333333"
"55","25535","2014-03-29","2014-04-27","28.9583333333333"
"56","25536","2014-03-31","2014-12-05","249.041666666667"
"57","25537","2015-01-21","2016-07-31","556.958333333333"
"58","25538","2014-03-29","2016-07-27","850.958333333333"
"59","25539","2014-03-29","2018-08-14","1598.95833333333"
"60","25540","2014-04-01","2014-04-11","10"
"61","25541","2014-03-30","2016-09-13","897.958333333333"
"62","25542","2014-04-02","2014-12-06","248.041666666667"
"63","25543","2014-03-30","2017-03-28","1093.95833333333"
"64","25544","2014-03-27","2014-12-01","249"
"65","25545","2014-03-29","2017-09-30","1280.95833333333"
"66","25546","2014-04-15","2016-08-03","841"
"67","25547","2014-03-27","2014-07-15","109.958333333333"
"68","25548","2014-03-27","2016-04-10","744.958333333333"
"69","25549","2014-04-30","2016-08-08","831"
"70","25550","2014-03-30","2014-05-18","48.9583333333333"
"71","25551","2014-03-25","2014-10-17","205.958333333333"
"72","25552","2014-03-27","2014-12-02","250"
"73","25553","2014-03-26","2016-07-08","834.958333333333"
"74","27583","2013-02-19","2013-08-31","192.958333333333"
"75","27584","2013-03-21","2014-12-03","622"
"76","27585","2013-03-22","2013-05-16","54.9583333333333"
"77","27586","2013-03-16","2013-05-12","56.9583333333333"
