"","Month","Original_overlap","Potential_overlap","IUU_events","to_plot","X","actual_plot","year","month_plot"
"1","2014-01",0.160010240655402,1.56810035842294,0,1.02040816326531,1,0.102040816326531,"2014","01"
"2","2014-02",0.0448028673835126,0.836320191158901,0,0.535714285714286,2,0.0535714285714286,"2014","02"
"3","2014-03",0.64068100358423,1.42025089605735,1,4.51104100946372,3,0.451104100946372,"2014","03"
"4","2014-04",0.249824684431978,0.628214118747078,1,3.97674418604652,4,0.397674418604652,"2014","04"
"5","2014-05",0.267254313578395,0.562640660165041,0,4.75000000000001,5,0.475000000000001,"2014","05"
"6","2014-06",0.177025963808025,0.513047469184369,2,3.45047923322683,6,0.345047923322683,"2014","06"
"7","2014-07",0.159168081494057,0.649052065647991,1,2.45231607629427,7,0.245231607629427,"2014","07"
"8","2014-08",0.229285262492093,0.768896268184693,0,2.98200514138817,8,0.298200514138817,"2014","08"
"9","2014-09",0.260671228413164,0.720918866080156,1,3.61581920903955,9,0.361581920903955,"2014","09"
"10","2014-10",0.158846529814272,0.700553926360378,1,2.26744186046512,10,0.226744186046512,"2014","10"
"11","2014-11",0.247815860215054,1.35668682795699,2,1.8266253869969,11,0.18266253869969,"2014","11"
"12","2014-12",0.151209677419355,1.28108198924731,3,1.18032786885246,12,0.118032786885246,"2014","12"
"13","2015-01",0.369623655913978,1.94052419354839,0,1.9047619047619,13,0.19047619047619,"2015","01"
"14","2015-02",0.268817204301076,1.49035420619861,0,1.80371352785146,14,0.180371352785146,"2015","02"
"15","2015-03",0.592979127134725,1.63662239089184,0,3.6231884057971,15,0.36231884057971,"2015","03"
"16","2015-04",0.082267334074898,0.460001853911754,0,1.78841309823677,16,0.178841309823677,"2015","04"
"17","2015-05",0.078221399612198,0.415344614842235,4,1.88328912466843,17,0.188328912466843,"2015","05"
"18","2015-06",0.015423937951701,0.261105235325225,0,0.590717299578057,18,0.0590717299578057,"2015","06"
"19","2015-07",0.066102591221576,0.331614665961572,0,1.99335548172758,19,0.199335548172758,"2015","07"
"20","2015-08",0.12008637405253,0.298563370350784,0,4.02214022140224,20,0.402214022140224,"2015","08"
"21","2015-09",0.0473735237087961,0.163053058346554,0,2.90540540540541,21,0.290540540540541,"2015","09"
"22","2015-10",0.053763440860215,0.375224014336918,2,1.43283582089552,22,0.143283582089552,"2015","10"
"23","2015-11",0.136612021857924,0.531024149479993,0,2.57261410788383,23,0.257261410788383,"2015","11"
"24","2015-12",0.136612021857924,0.619160937775427,0,2.20640569395019,24,0.220640569395019,"2015","12"
"25","2016-01",0.0870350784417415,0.632381456019743,1,1.37630662020906,25,0.137630662020906,"2016","01"
"26","2016-02",0.100806451612903,0.552195340501792,0,1.82555780933063,26,0.182555780933063,"2016","02"
"27","2016-03",0.1090692755156,0.674246430460074,0,1.61764705882353,27,0.161764705882353,"2016","03"
"28","2016-04",0.0777570425664265,0.785901537367813,0,0.989399293286216,28,0.0989399293286216,"2016","04"
"29","2016-05",0.0741088525556045,0.737406098099867,5,1.00499375780275,29,0.100499375780274,"2016","05"
"30","2016-06",0.00182868846463317,0.421969863214103,0,0.0433369447453956,30,0.00433369447453956,"2016","06"
"31","2016-07",NA,NA,0,NA,31,NA,"2016","07"
"32","2016-08",NA,NA,0,NA,32,NA,"2016","08"
"33","2016-09",NA,NA,0,NA,33,NA,"2016","09"
"34","2016-10",NA,NA,0,NA,34,NA,"2016","10"
"35","2016-11",NA,NA,0,NA,35,NA,"2016","11"
"36","2016-12",NA,NA,2,NA,36,NA,"2016","12"
"37","2017-01",NA,NA,0,NA,37,NA,"2017","01"
"38","2017-02",NA,NA,3,NA,38,NA,"2017","02"
"39","2017-03",NA,NA,0,NA,39,NA,"2017","03"
"40","2017-04",NA,NA,0,NA,40,NA,"2017","04"
"41","2017-05",NA,NA,0,NA,41,NA,"2017","05"
"42","2017-06",0.0748123351592615,0.429853925745587,0,1.74041297935103,42,0.174041297935103,"2017","06"
"43","2017-07",0.110950497058227,0.561726516534794,0,1.97516930022574,43,0.197516930022574,"2017","07"
"44","2017-08",0.138285773366419,0.5479735318445,0,2.52358490566038,44,0.252358490566038,"2017","08"
"45","2017-09",0.0535024532832235,0.609405992274768,1,0.877944325481795,45,0.0877944325481795,"2017","09"
"46","2017-10",0.054306505919409,0.456853481047029,0,1.18870728083209,46,0.118870728083209,"2017","10"
"47","2017-11",0.0464710592541753,0.50045756119881,0,0.92857142857143,47,0.092857142857143,"2017","11"
"48","2017-12",0.0462962962962963,0.450268817204301,0,1.02819237147595,48,0.102819237147595,"2017","12"
"49","2018-01",NA,NA,0,NA,49,NA,"2018","01"
"50","2018-02",0.0120816721034191,0.0521022109459949,0,2.31884057971014,50,0.231884057971014,"2018","02"
"51","2018-03",0.13239247311828,2.41129032258065,0,0.549052396878485,51,0.0549052396878485,"2018","03"
"52","2018-04",0.55409260478385,2.49661692634043,0,2.21937374107307,52,0.221937374107307,"2018","04"
"53","2018-05",0.171744324970132,4.42101627837515,0,0.388472500791725,53,0.0388472500791725,"2018","05"
"54","2018-06",0.355014025245442,3.57351566152408,0,0.993458708094848,54,0.0993458708094848,"2018","06"
"55","2018-07",NA,NA,1,NA,55,NA,"2018","07"
"56","2018-08",0.0343600937828442,1.19653973643787,0,0.287162162162162,56,0.0287162162162162,"2018","08"
"57","2018-09",0.055653561827957,2.97694052419355,0,0.18694885361552,57,0.018694885361552,"2018","09"
"58","2018-10",0.067204301075269,2.74697580645161,4,0.244648318042814,58,0.0244648318042814,"2018","10"
"59","2018-11",0.239341633654027,3.19927843803056,0,0.748111295374975,59,0.0748111295374975,"2018","11"
"60","2018-12",0.0906057987711215,3.8792482718894,0,0.233565351894819,60,0.0233565351894819,"2018","12"
"61","2019-01",0.13317549570879,3.94902337969814,0,0.337236533957846,61,0.0337236533957846,"2019","01"
"62","2019-02",0.0884628044766295,3.17026003949967,0,0.27903958468527,62,0.027903958468527,"2019","02"
"63","2019-03",0.4044477028348,3.34433040078201,1,1.20935330654001,63,0.120935330654001,"2019","03"
"64","2019-04",0.0192012288786482,0.624039938556068,0,0.307692307692307,64,0.0307692307692307,"2019","04"
