NewDate,count,number_sharks,month,count_tag,Boat_station_freq,year,stations,actual_hours,ORIGINAL_count,unstandardised_potential,standard1,standard3,standard2,standard4,X,IUU_events
2014-01,490,16,1,21,189,2014,49,535,50,0.102040816326531,2.570945233724641e-5,3.374365619263591e-5,9.082404657457144e-6,1.1920656112912501e-5,1,0
2014-02,224,14,2,18,92,2014,49,251,12,0.0535714285714286,3.234989648033128e-5,4.159272404614022e-5,1.1857332574464055e-5,1.5245141881453786e-5,2,0
2014-03,317,37,3,15,230,2014,49,441,143,0.451104100946372,1.3075481186851362e-4,5.3008707514262276e-5,6.819411956861254e-5,2.7646264689978058e-5,3,1
2014-04,430,35,4,46,294,2014,49,358,171,0.397674418604651,2.9405088627968873e-5,3.86466879110448e-5,2.414831300732639e-5,3.173778280962897e-5,4,1
2014-05,360,31,5,43,228,2014,49,374,171,0.475,4.8449612403100775e-5,6.720430107526882e-5,2.9536127347344858e-5,4.09694669656719e-5,5,0
2014-06,313,29,6,41,169,2014,49,333,108,0.345047923322684,4.9797650934144034e-5,7.040357545861743e-5,2.5272681705316343e-5,3.573034310061966e-5,6,2
2014-07,367,32,7,38,141,2014,49,414,90,0.245231607629428,4.576924367850466e-5,5.435097686822429e-5,1.5588075745577678e-5,1.851083994787349e-5,7,1
2014-08,389,29,8,34,190,2014,49,506,116,0.298200514138817,4.6161070300126466e-5,5.41198755242862e-5,1.733320821546251e-5,2.032169239054225e-5,8,0
2014-09,354,29,9,33,202,2014,49,485,128,0.361581920903955,5.424271240683394e-5,6.17244658422593e-5,2.259181011583599e-5,2.57079218559513e-5,9,1
2014-10,344,28,10,33,136,2014,49,386,78,0.226744186046512,5.05223230941426e-5,5.9544166503810927e-5,1.7800611245604647e-5,2.0979291825176905e-5,10,1
2014-11,646,28,11,32,133,2014,49,429,118,0.18266253869969,4.291882958169408e-5,4.905009095050752e-5,1.3305837609243154e-5,1.5206671553420747e-5,11,2
2014-12,305,18,12,16,124,2014,49,304,36,0.118032786885246,5.9492332099418345e-5,5.2882072977260756e-5,2.4266609145815377e-5,2.1570319240724783e-5,12,3
2015-01,462,14,1,16,335,2015,64,510,88,0.19047619047619,3.553660270078172e-5,4.061326022946482e-5,2.3342670401493872e-05,2.6677337601707283e-5,13,0
2015-02,377,13,2,17,298,2015,64,469,68,0.180371352785146,3.5604293877841685e-5,4.65594612248699e-5,2.2622770950099836e-5,2.9583623550130554e-5,14,0
2015-03,414,40,3,17,360,2015,64,519,150,0.36231884057971,5.920242493132516e-5,2.5161030595813194e-5,4.106526584831803e-5,1.745273798553516e-5,15,0
2015-04,397,45,4,58,281,2015,64,538,71,0.178841309823678,1.0973205904017547e-5,1.4143243165178172e-5,5.73135847403147e-6,7.3870842554183395e-6,16,0
2015-05,377,39,5,61,208,2015,64,487,71,0.188328912466843,1.4843073176768837e-5,2.321608881494613e-5,6.339546654554246e-6,9.91570117763613e-6,17,4
2015-06,237,34,6,61,84,2015,64,358,14,0.0590717299578059,1.1528440663115905e-5,2.068337883676677e-5,2.7049972505635085e-6,4.853083302481589e-6,18,0
2015-07,301,38,7,61,194,2015,64,480,60,0.199335548172757,1.6844308616930626e-5,2.703954804296758e-5,6.80790806600946e-6,1.0928484000699397e-5,19,0
2015-08,271,34,8,61,195,2015,64,394,109,0.402214022140221,3.381370509795889e-5,6.066576502869095e-5,1.673520937589336e-5,3.0024934468514558e-5,20,0
2015-09,148,29,9,61,78,2015,64,204,43,0.290540540540541,6.10635856537497e-5,1.2844409396133556e-4,2.3347841573492526e-5,4.9110977102863595e-5,21,0
2015-10,335,35,10,60,149,2015,64,393,48,0.143283582089552,1.6027246318741836e-5,2.747527940355743e-5,6.076487790057337e-6,1.0416836211526863e-5,22,2
