"","monthyear","X","month","count","number_sharks","count_tag","Boat_station_freq","year","stations","standard1","standard2","actual_hours","total_number_sharks","O","P","potential","sharks_study","standard2.2","standard1.2"
"1","2014-01",2,1,50,6,21,189,2014,49,0.0125976316452507,0.00445037828215398,535,794,0.00445037828215398,0.0706720071206053,0.0629722921914358,"17",0.00549752611324904,0.0155617802676626
"2","2014-02",3,2,12,5,18,92,2014,49,0.0072463768115942,0.00265604249667995,251,350,0.00265604249667995,0.0774679061531651,0.0342857142857143,"15",0.00318725099601594,0.00869565217391304
"3","2014-03",4,3,143,25,15,230,2014,49,0.0414492753623188,0.0216175359032502,441,531,0.0216175359032502,0.0802721088435374,0.269303201506591,"42",0.00772054853687507,0.0148033126293996
"4","2014-04",5,4,171,31,46,294,2014,49,0.0126441881100266,0.0103837745931504,358,1055,0.0103837745931504,0.0640636385717756,0.162085308056872,"44",0.0108557643473845,0.0132189239332096
"5","2014-05",6,5,171,32,43,228,2014,49,0.0174418604651163,0.0106330058450441,374,972,0.0106330058450441,0.0604402437507773,0.175925925925926,"39",0.0117235705471,0.0192307692307692
"6","2014-06",7,6,108,24,41,169,2014,49,0.0155866647423871,0.00791034937376401,333,810,0.00791034937376401,0.0593276203032301,0.133333333333333,"37",0.00876552227903579,0.0172717095794019
"7","2014-07",8,7,90,24,38,141,2014,49,0.0167973124300112,0.005720823798627,414,976,0.005720823798627,0.0620391558606662,0.0922131147540984,"38",0.005720823798627,0.0167973124300112
"8","2014-08",9,8,116,24,34,190,2014,49,0.0179566563467492,0.00674261799581493,506,1048,0.00674261799581493,0.0609160660311555,0.110687022900763,"33",0.00694693975326386,0.0185007974481659
"9","2014-09",10,9,128,22,33,202,2014,49,0.0192019201920192,0.00799750078100594,485,922,0.00799750078100594,0.0576069978131834,0.13882863340564,"31",0.0085134685733289,0.0204407537527946
"10","2014-10",11,10,78,16,33,136,2014,49,0.017379679144385,0.00612341026848799,386,917,0.00612341026848799,0.0719893232846601,0.0850599781897492,"30",0.00673575129533679,0.0191176470588235
"11","2014-11",12,11,118,23,32,133,2014,49,0.0277255639097744,0.0085955710955711,429,1691,0.0085955710955711,0.123178904428904,0.0697811945594323,"30",0.00916860916860917,0.0295739348370927
"12","2014-12",13,12,36,5,16,124,2014,49,0.0181451612903226,0.00740131578947368,304,572,0.00740131578947368,0.117598684210526,0.0629370629370629,"29",0.00408348457350272,0.0100111234705228
"13","2015-01",14,1,88,9,16,335,2015,64,0.0164179104477612,0.0107843137254902,510,752,0.0107843137254902,0.092156862745098,0.117021276595745,"16",0.0107843137254902,0.0164179104477612
"14","2015-02",15,2,68,9,17,298,2015,64,0.0134228187919463,0.00852878464818763,469,540,0.00852878464818763,0.0677285839709018,0.125925925925926,"14",0.0103563813585136,0.0162991371045062
"15","2015-03",16,3,150,22,17,360,2015,64,0.0245098039215686,0.0170010200612037,519,613,0.0170010200612037,0.0694775019834523,0.244698205546493,"48",0.00602119460500963,0.00868055555555556
"16","2015-04",17,4,71,20,58,281,2015,64,0.00435636274389496,0.00227534931419049,538,980,0.00227534931419049,0.0314062299705166,0.0724489795918367,"56",0.00235661178969729,0.00451194712760549
"17","2015-05",18,5,71,26,61,208,2015,64,0.00559583858764187,0.00239000908876696,487,894,0.00239000908876696,0.0300939172585586,0.0794183445190157,"60",0.00242984257357974,0.00568910256410256
"18","2015-06",19,6,14,7,61,84,2015,64,0.00273224043715847,0.000641084348383552,358,531,0.000641084348383552,0.0243154134994047,0.0263653483992467,"54",0.000724187875025864,0.00308641975308642
"19","2015-07",20,7,60,18,61,194,2015,64,0.00507013689369613,0.00204918032786885,480,839,0.00204918032786885,0.0286543715846995,0.0715137067938021,"53",0.00235849056603774,0.00583544057576347
"20","2015-08",21,8,109,25,61,195,2015,64,0.00916351408154687,0.00453524174086711,394,797,0.00453524174086711,0.0331613547474411,0.136762860727729,"50",0.00553299492385787,0.0111794871794872
"21","2015-09",22,9,43,8,61,78,2015,64,0.00903741067675494,0.00345548055287689,204,397,0.00345548055287689,0.031902925104468,0.10831234256927,"51",0.00413302575932334,0.0108094519859226
"22","2015-10",23,10,48,14,60,149,2015,64,0.00536912751677852,0.00203562340966921,393,864,0.00203562340966921,0.0366412213740458,0.0555555555555556,"49",0.0024926000934725,0.00657444185727982
"23","2015-11",24,11,124,16,61,161,2015,64,0.0126260054984217,0.00539200765317215,377,1333,0.00539200765317215,0.0579640822716006,0.0930232558139535,"52",0.00632523974699041,0.0148112756808409
"24","2015-12",25,12,124,23,61,196,2015,64,0.0103713616594179,0.00466235524138968,436,1776,0.00466235524138968,0.0667769589411942,0.0698198198198198,"51",0.00557654254362295,0.0124049619847939
"25","2016-01",26,1,79,22,61,168,2016,93,0.0077088212334114,0.00285260345201127,454,1478,0.00285260345201127,0.0533689607857298,0.0534506089309878,"50",0.00348017621145374,0.00940476190476191
"26","2016-02",27,2,90,21,60,292,2016,93,0.00513698630136986,0.00334821428571429,448,1031,0.00334821428571429,0.0383556547619048,0.0872938894277401,"53",0.00379043126684636,0.00581545619023003
"27","2016-03",28,3,99,26,61,242,2016,93,0.00670640834575261,0.00308545783207629,526,1418,0.00308545783207629,0.0441937293523655,0.0698166431593794,"66",0.00285171102661597,0.00619834710743802
